,dataset,target,no_feat,no_rows,tr_RMSE,te_RMSE,model_class,model_complexity,k,d,l
0,advertising,Clicked on Ad,242,1000,0.46898591555581737,0.46745017457036614,xgboost,4,1,1,1
1,advertising,Clicked on Ad,242,1000,0.4696539588411592,0.46815242938263574,xgboost,4,1,1,10
2,advertising,Clicked on Ad,242,1000,0.4750334068025723,0.4738051781501089,xgboost,4,1,1,100
3,advertising,Clicked on Ad,242,1000,0.4558145769872207,0.45865263841737985,xgboost,16,1,3,1
4,advertising,Clicked on Ad,242,1000,0.45777342563848705,0.4601678032408091,xgboost,16,1,3,10
5,advertising,Clicked on Ad,242,1000,0.46769070950936925,0.4690355614514279,xgboost,16,1,3,100
6,advertising,Clicked on Ad,242,1000,0.4533065332888931,0.4570658229470877,xgboost,40,1,5,1
7,advertising,Clicked on Ad,242,1000,0.45635031503960555,0.45917374110837184,xgboost,40,1,5,10
8,advertising,Clicked on Ad,242,1000,0.46717777260858684,0.4686452314922648,xgboost,38,1,5,100
9,advertising,Clicked on Ad,242,1000,0.4176761381666769,0.41751908646086733,xgboost,12,3,1,1
10,advertising,Clicked on Ad,242,1000,0.41929109796820263,0.4191364114177645,xgboost,12,3,1,10
11,advertising,Clicked on Ad,242,1000,0.43256061315525635,0.4317695878258452,xgboost,12,3,1,100
12,advertising,Clicked on Ad,242,1000,0.38157670765880697,0.3913446151234946,xgboost,48,3,3,1
13,advertising,Clicked on Ad,242,1000,0.3863723116720666,0.3942926225846794,xgboost,48,3,3,10
14,advertising,Clicked on Ad,242,1000,0.4114472909751159,0.4156443872667894,xgboost,48,3,3,100
15,advertising,Clicked on Ad,242,1000,0.37398338038501555,0.3896625254692817,xgboost,120,3,5,1
16,advertising,Clicked on Ad,242,1000,0.38198963389743806,0.39327455270187667,xgboost,122,3,5,10
17,advertising,Clicked on Ad,242,1000,0.40972508471931013,0.4149607464472111,xgboost,120,3,5,100
18,advertising,Clicked on Ad,242,1000,0.3065848217217988,0.3100739693130295,xgboost,40,10,1,1
19,advertising,Clicked on Ad,242,1000,0.3090178533382107,0.3126724625490452,xgboost,40,10,1,10
